Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Decision-theoretic model to identify printed sources","Multimedia Tools and Applications","","","","10.1007/s11042-018-5938-0","Min-Jen TsaiImam YuadiYu-Han Tao","2018","http://link.springer.com/article/10.1007/s11042-018-5938-0","Article"
"Nonparametric Hidden Markov Models: Principles and Applications to Speech Recognition","Neural Nets","","","","10.1007/978-3-540-45216-4_1","Edmondo Trentin","2003","http://link.springer.com/chapter/10.1007/978-3-540-45216-4_1","Chapter"
"DEBORA: Digital AccEss to BOoks of the RenAissance","International Journal of Document Analysis and Recognition (IJDAR)","","9","2 - 4","10.1007/s10032-006-0030-0","F. Le BourgeoisH. Emptoz","2007","http://link.springer.com/article/10.1007/s10032-006-0030-0","Article"
"Frame Detection over the Semantic Web","The Semantic Web: Research and Applications","","","","10.1007/978-3-642-02121-3_13","Bonaventura CoppolaAldo GangemiAlfio GliozzoDavide PiccaValentina Presutti","2009","http://link.springer.com/chapter/10.1007/978-3-642-02121-3_13","Chapter"
"Efficient OCR Post-Processing Combining Language, Hypothesis and Error Models","Structural, Syntactic, and Statistical Pattern Recognition","","","","10.1007/978-3-642-14980-1_72","Rafael LlobetJ. Ramon Navarro-CerdanJuan-Carlos Perez-CortesJoaquim Arlandis","2010","http://link.springer.com/chapter/10.1007/978-3-642-14980-1_72","Chapter"
"Extracting and analyzing time-series HCI data from screen-captured task videos","Empirical Software Engineering","","22","1","10.1007/s10664-015-9417-1","Lingfeng BaoJing LiZhenchang XingXinyu WangXin XiaBo Zhou","2017","http://link.springer.com/article/10.1007/s10664-015-9417-1","Article"
"Integrating Analysis of Context and Image Content","Principles of Visual Information Retrieval","","","","10.1007/978-1-4471-3702-3_11","Vassilis AthitsosCharles FrankelMichael J. Swain","2001","http://link.springer.com/chapter/10.1007/978-1-4471-3702-3_11","Chapter"
"The effect of tracking technique on the quality of user experience for augmented reality mobile navigation","Multimedia Tools and Applications","","","","10.1007/s11042-017-4810-y","Yoones A. SekhavatJeffrey Parsons","2017","http://link.springer.com/article/10.1007/s11042-017-4810-y","Article"
"Enabling Access to Computers for People with Poor Reading Skills","User-Centered Interaction Paradigms for Universal Access in the Information Society","","","","10.1007/978-3-540-30111-0_8","Albrecht SchmidtThorsten KölblSiegfried WagnerWalter Straßmeier","2004","http://link.springer.com/chapter/10.1007/978-3-540-30111-0_8","Chapter"
"Urdu ligature recognition using multi-level agglomerative hierarchical clustering","Cluster Computing","","","","10.1007/s10586-017-0916-2","Naila Habib KhanAwais AdnanSadia Basar","2017","http://link.springer.com/article/10.1007/s10586-017-0916-2","Article"
